date,open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
16/11/2021,1.63702E+12,0.0002569,0.0002621,0.0002523,0.0002587,8061138,1.63711E+12,2076.627015,14989,4130575,1064.489905,0
17/11/2021,1.63711E+12,0.0002585,0.0002627,0.0002553,0.0002554,5056297,1.63719E+12,1311.858031,8807,2161057,560.850028,0
18/11/2021,1.63719E+12,0.0002554,0.0002686,0.0002548,0.0002603,10845561,1.63728E+12,2830.120618,18227,5288485,1381.000968,0
19/11/2021,1.63728E+12,0.0002604,0.0002609,0.0002524,0.0002535,4861164,1.63737E+12,1245.217774,9281,2558468,655.8399582,0
20/11/2021,1.63737E+12,0.0002536,0.0002561,0.0002463,0.0002487,4512167,1.63745E+12,1137.003227,7687,2415780,609.2476117,0
21/11/2021,1.63745E+12,0.0002485,0.0002489,0.0002446,0.0002482,4463535,1.63754E+12,1103.584801,6984,2198528,543.8079271,0
22/11/2021,1.63754E+12,0.0002481,0.0002556,0.0002456,0.0002535,5495031,1.63763E+12,1376.069512,9496,3420401,856.8339006,0
23/11/2021,1.63763E+12,0.0002533,0.0002559,0.0002411,0.0002457,6734803,1.63771E+12,1672.335863,10694,3358248,834.7764959,0
24/11/2021,1.63771E+12,0.0002458,0.0002466,0.00024,0.0002417,4977344,1.6378E+12,1207.413472,8416,2490001,604.1142012,0
25/11/2021,1.6378E+12,0.0002417,0.0002429,0.0002305,0.0002308,5338191,1.63788E+12,1265.276474,8709,2291318,542.7574123,0
26/11/2021,1.63788E+12,0.0002306,0.0002371,0.0002219,0.0002325,11055510,1.63797E+12,2559.503999,14513,5451778,1264.71014,0
27/11/2021,1.63797E+12,0.0002322,0.0002341,0.000229,0.0002308,3291807,1.63806E+12,761.2213491,6056,1564168,361.9325914,0
28/11/2021,1.63806E+12,0.0002309,0.0002318,0.0002218,0.0002255,4314087,1.63814E+12,976.5357667,7615,2013181,456.0168766,0
29/11/2021,1.63814E+12,0.0002256,0.0002295,0.0002213,0.0002228,5918831,1.63823E+12,1330.400526,8631,3456629,776.7653464,0
30/11/2021,1.63823E+12,0.0002229,0.0002272,0.000215,0.0002157,10174452,1.63832E+12,2260.890059,10720,6902308,1539.932106,0
01/12/2021,1.63832E+12,0.0002158,0.0002177,0.0002115,0.000216,4070293,1.6384E+12,871.6791012,7927,2184511,468.244988,0
02/12/2021,1.6384E+12,0.0002158,0.0002188,0.0002122,0.0002153,4777749,1.63849E+12,1027.328544,7895,2546564,547.929708,0
03/12/2021,1.63849E+12,0.0002152,0.0002221,0.0002111,0.0002184,6595879,1.63858E+12,1427.12141,10379,3221798,697.5616036,0
04/12/2021,1.63858E+12,0.0002185,0.0002207,0.0001689,0.0002055,25292662,1.63866E+12,4944.307036,33200,13184313,2573.03586,0
05/12/2021,1.63866E+12,0.0002055,0.0002072,0.0001892,0.0001918,8540861,1.63875E+12,1674.381891,12061,4381422,859.4865088,0
06/12/2021,1.63875E+12,0.0001916,0.0001941,0.0001874,0.0001901,7469186,1.63884E+12,1427.756622,10408,3687298,704.9673509,0
07/12/2021,1.63884E+12,0.0001899,0.000193,0.0001873,0.0001895,4676410,1.63892E+12,890.6834847,6344,2199452,419.1781835,0
08/12/2021,1.63892E+12,0.0001892,0.0002013,0.0001875,0.0001941,8665334,1.63901E+12,1673.694481,9637,4830595,931.8565834,0
09/12/2021,1.63901E+12,0.0001944,0.000217,0.0001929,0.0002092,11264786,1.63909E+12,2340.410013,15543,5400979,1122.375332,0
10/12/2021,1.63909E+12,0.000209,0.0002107,0.0002033,0.000205,8468327,1.63918E+12,1742.934749,9344,5488745,1129.844274,0
11/12/2021,1.63918E+12,0.0002051,0.0002087,0.0002034,0.0002055,3635542,1.63927E+12,749.5579007,5497,1749342,360.9504492,0
12/12/2021,1.63927E+12,0.0002051,0.000207,0.000202,0.0002034,2821369,1.63935E+12,576.0876339,4173,1295447,264.4111247,0
