date;close;quote_asset_volume;num_trades;taker_buy_quote_asset_volume
30/06/2021;0.00031000;1874.23904700;9257.00000000;905.20226970
01/07/2021;0.00031289;2365.83931000;9053.00000000;1044.26633800
02/07/2021;0.00030437;1476.81366200;7439.00000000;728.49366310
03/07/2021;0.00030239;1688.35497600;8059.00000000;856.72364050
04/07/2021;0.00029965;1435.31140400;7515.00000000;741.00541970
05/07/2021;0.00029716;1613.16226700;8344.00000000;762.82317960
06/07/2021;0.00028631;2366.61294400;11843.00000000;1234.22915900
07/07/2021;0.00028150;2124.46825400;10546.00000000;1115.31481900
08/07/2021;0.00029370;2824.43048600;11241.00000000;1424.37615000
09/07/2021;0.00029634;1918.81004700;9656.00000000;919.79519330
10/07/2021;0.00029606;1811.69974400;7828.00000000;930.53436960
11/07/2021;0.00029741;1273.08037700;5989.00000000;677.49990110
12/07/2021;0.00030952;2222.84576300;9750.00000000;1031.91974900
13/07/2021;0.00031913;2501.13974100;11024.00000000;1168.34095200
14/07/2021;0.00031079;2354.26926300;9688.00000000;1140.09530700
15/07/2021;0.00031135;2134.49514200;9439.00000000;976.93164980
16/07/2021;0.00031389;2294.98505900;10415.00000000;1096.60478800
17/07/2021;0.00030641;2164.63053700;9038.00000000;1020.13691100
18/07/2021;0.00031032;1707.07165200;8054.00000000;830.91022240
19/07/2021;0.00030642;1296.71323000;6258.00000000;644.06897550
20/07/2021;0.00029596;2117.54390300;9344.00000000;981.46347440
21/07/2021;0.00028662;2341.68494200;9930.00000000;1188.51931300
22/07/2021;0.00029239;2128.11230900;10206.00000000;1163.76014800
23/07/2021;0.00028684;1861.77016200;7802.00000000;882.65119670
24/07/2021;0.00027886;1622.31276300;7455.00000000;666.47841070
25/07/2021;0.00027729;1155.79438900;5411.00000000;545.86584900
26/07/2021;0.00028026;3278.69384100;14875.00000000;1717.12370300
27/07/2021;0.00028063;1988.40917100;9222.00000000;1038.45904500
28/07/2021;0.00031842;7217.91349900;30234.00000000;3677.21956800
29/07/2021;0.00031434;3178.34921300;14152.00000000;1585.73655900
30/07/2021;0.00030577;3456.98456800;15449.00000000;1678.71015700
31/07/2021;0.00029502;2207.07206800;9682.00000000;896.95324910
01/08/2021;0.00028302;2618.63969300;13009.00000000;1164.39411600
02/08/2021;0.00028348;3052.42374900;12239.00000000;1267.08102600
03/08/2021;0.00028439;2504.82603100;11038.00000000;1222.52560800
04/08/2021;0.00026825;2860.59694700;12247.00000000;1255.66867200
05/08/2021;0.00025920;2818.06303700;14173.00000000;1364.97212000
06/08/2021;0.00025839;2000.89774500;10604.00000000;999.94911820
07/08/2021;0.00025816;3034.85813700;15515.00000000;1492.60258300
08/08/2021;0.00025838;2007.89125100;11255.00000000;938.30739410
09/08/2021;0.00025829;2939.10699000;13756.00000000;1603.39118800
10/08/2021;0.00027088;2570.32237200;12781.00000000;1289.64586700
11/08/2021;0.00031960;9361.03213800;35945.00000000;4261.93102500
12/08/2021;0.00031718;7679.05208800;28411.00000000;4167.56804300
13/08/2021;0.00032795;3188.66010800;17598.00000000;1608.75571800
14/08/2021;0.00039213;9375.70848300;45655.00000000;4735.34078000
15/08/2021;0.00038796;11157.84315000;43372.00000000;5360.35363400
16/08/2021;0.00037658;5819.96099000;26637.00000000;2748.74645700
17/08/2021;0.00036415;5279.63668200;23463.00000000;2836.19956100
18/08/2021;0.00037903;7553.01552900;27921.00000000;3722.05516100
19/08/2021;0.00038737;6830.81633100;24443.00000000;3419.16953600
20/08/2021;0.00038441;4971.32059800;19595.00000000;2478.08122000
21/08/2021;0.00037747;4668.24397400;16165.00000000;1593.82671700
22/08/2021;0.00037875;4609.77331200;13187.00000000;3206.82877300
23/08/2021;0.00037511;8158.18461400;25226.00000000;4106.43838100
24/08/2021;0.00035811;3999.07903800;16522.00000000;1776.76717800
25/08/2021;0.00036359;2680.64263000;13548.00000000;985.00701380
26/08/2021;0.00034660;3510.87264900;14053.00000000;1445.14024800
27/08/2021;0.00036380;2421.40460300;11479.00000000;1222.57663700
28/08/2021;0.00035290;1683.54384800;7249.00000000;801.50542460
29/08/2021;0.00035390;2561.32307600;9311.00000000;1238.53127000
30/08/2021;0.00034070;3099.38425200;10788.00000000;1213.24398900
31/08/2021;0.00034560;6183.91381200;22545.00000000;2802.99658600
01/09/2021;0.00032290;4246.08404300;17552.00000000;1869.34423900
02/09/2021;0.00033100;4230.35405800;17372.00000000;2162.71030300
03/09/2021;0.00032790;4246.91495800;18832.00000000;1812.94289100
04/09/2021;0.00032290;2769.66411500;15752.00000000;1712.72421000
05/09/2021;0.00033090;2061.11428900;10172.00000000;1170.24573000
06/09/2021;0.00035370;5061.29194800;26341.00000000;2430.51374100
07/09/2021;0.00032870;7902.70501100;43222.00000000;4074.37596700
08/09/2021;0.00031390;3347.61640900;18320.00000000;1447.30495200
09/09/2021;0.00031780;2103.29227500;11748.00000000;1120.46636100
10/09/2021;0.00032880;4992.30846400;28619.00000000;2456.00923100
11/09/2021;0.00033020;1749.44751200;9163.00000000;956.74744870
12/09/2021;0.00032850;1443.33877000;10138.00000000;757.05614700
13/09/2021;0.00032380;1880.03838600;11292.00000000;925.75282940
14/09/2021;0.00031910;1333.45116000;7960.00000000;637.75807870
15/09/2021;0.00031030;1492.61005200;10071.00000000;709.92708630
16/09/2021;0.00030560;1599.13549500;9524.00000000;882.43225650
17/09/2021;0.00031350;1634.29021200;8397.00000000;825.61565550
18/09/2021;0.00031300;1353.26229800;7355.00000000;678.35863280
19/09/2021;0.00031470;1317.25831800;8938.00000000;693.25973140
20/09/2021;0.00030920;3306.90669100;19282.00000000;1600.68899000
21/09/2021;0.00031590;2625.27912000;18058.00000000;1306.90607900
22/09/2021;0.00032590;2545.48467500;19219.00000000;1294.46999200
23/09/2021;0.00031760;1595.14661100;10282.00000000;919.44622450
24/09/2021;0.00032250;1867.87159200;12572.00000000;921.39158210
25/09/2021;0.00032140;1548.54865300;10298.00000000;751.53838880
26/09/2021;0.00030850;1525.24110400;12054.00000000;739.91189110
27/09/2021;0.00031510;1470.25490900;9716.00000000;737.08339130
28/09/2021;0.00031830;1663.83021100;10042.00000000;870.86901850
29/09/2021;0.00032480;2304.11805700;14805.00000000;1124.06825200
30/09/2021;0.00031770;1494.24976300;10530.00000000;744.69740330
01/11/2021;0.00025260;2271.21108000;11888.00000000;1064.57316800
02/11/2021;0.00024730;3008.58348100;14677.00000000;1440.55961800
03/11/2021;0.00026280;5469.46275400;27014.00000000;2712.01069500
04/11/2021;0.00026510;4464.79207800;21449.00000000;2213.38790500
05/11/2021;0.00025870;2932.88974000;12971.00000000;1575.63203900
06/11/2021;0.00025490;1539.05638200;8946.00000000;757.01317570
07/11/2021;0.00026440;2068.38930100;12685.00000000;1094.08752800
08/11/2021;0.00026650;4099.00902100;20243.00000000;2261.79110700
09/11/2021;0.00026560;2435.76912100;14709.00000000;1157.34811700
10/11/2021;0.00025710;4754.04293600;30223.00000000;2181.59969100
11/11/2021;0.00025730;1742.85171500;12472.00000000;906.54030030
12/11/2021;0.00025450;1694.08860300;10102.00000000;831.62079930
13/11/2021;0.00025600;1303.20999900;6652.00000000;453.84832940
14/11/2021;0.00025690;957.84656020;5683.00000000;352.18697370
15/11/2021;0.00025690;1277.42995000;7823.00000000;596.18353010
16/11/2021;0.00025870;2076.62701500;14989.00000000;1064.48990500
17/11/2021;0.00025540;1311.85803100;8807.00000000;560.85002800
18/11/2021;0.00026030;2830.12061800;18227.00000000;1381.00096800
19/11/2021;0.00025350;1245.21777400;9281.00000000;655.83995820
20/11/2021;0.00024870;1137.00322700;7687.00000000;609.24761170
21/11/2021;0.00024820;1103.58480100;6984.00000000;543.80792710
22/11/2021;0.00025350;1376.06951200;9496.00000000;856.83390060
23/11/2021;0.00024570;1672.33586300;10694.00000000;834.77649590
24/11/2021;0.00024170;1207.41347200;8416.00000000;604.11420120
25/11/2021;0.00023080;1265.27647400;8709.00000000;542.75741230
26/11/2021;0.00023250;2559.50399900;14513.00000000;1264.71014000
27/11/2021;0.00023080;761.22134910;6056.00000000;361.93259140
28/11/2021;0.00022550;976.53576670;7615.00000000;456.01687660
29/11/2021;0.00022280;1330.40052600;8631.00000000;776.76534640
30/11/2021;0.00021570;2260.89005900;10720.00000000;1539.93210600
01/12/2021;0.00021600;871.67910120;7927.00000000;468.24498800
02/12/2021;0.00021530;1027.32854400;7895.00000000;547.92970800
03/12/2021;0.00021840;1427.12141000;10379.00000000;697.56160360
04/12/2021;0.00020550;4944.30703600;33200.00000000;2573.03586000
05/12/2021;0.00019180;1674.38189100;12061.00000000;859.48650880
06/12/2021;0.00019010;1427.75662200;10408.00000000;704.96735090
07/12/2021;0.00018950;890.68348470;6344.00000000;419.17818350
08/12/2021;0.00019410;1673.69448100;9637.00000000;931.85658340
09/12/2021;0.00020920;2340.41001300;15543.00000000;1122.37533200
